ID,Elemento,Porcentaje,Tiempo_s,ObjFinal,DeteccionOK,PromDispersion,StdDispersion,MeanAbsDispersion,N_FalsosPositivos
300,34,15,14536.2069987,1.05658050329496,TRUE,3.79781888229138,5.74612107353543,3.79781888229138,1
301,34,20,14584.399445,1.05810608766398,TRUE,3.86983424228294,5.84129857830982,3.86983424228294,1
302,34,25,14634.4590972,1.06058680110962,TRUE,3.98317926128814,5.98029414549767,3.98317926128814,1
303,34,30,14681.0230004,1.06363168294671,TRUE,4.11084764789406,6.14143417532338,4.11084764789406,1
304,34,35,14733.4705402,1.06448315666455,TRUE,4.14634942350914,6.18287106089378,4.14634942350914,1
305,34,40,14784.7531594,1.0649906597049,TRUE,4.16576229519252,6.20902593289438,4.16576229519252,1
306,34,45,14820.8364608,1.06546868825325,TRUE,4.18462328451747,6.23131841283101,4.18462328451747,1
307,35,5,14868.9007863,1.96273501838698,FALSE,24.3416654195921,6.41835183820185,24.3416654195921,4
308,35,10,14900.2564741,1.95810806287932,FALSE,24.7405154319441,8.51228796285362,24.7405154319441,4
309,35,15,14947.4352108,1.95509622756516,FALSE,26.8726291672039,8.32368236412231,26.8726291672039,4
310,35,20,14992.9843571,1.95397963359395,FALSE,29.6727498189369,9.12365824613684,29.6727498189369,5
311,35,25,15029.171672,1.94490318122706,FALSE,16.0217203810704,14.648449625443,16.0217203810704,7
312,35,30,15066.3109668,1.93884646050717,FALSE,17.7803984751916,16.6372494266153,17.7803984751916,4
313,35,35,15111.0950242,1.95679034174489,FALSE,29.5026889629721,5.82890028114387,29.5026889629721,11
314,35,40,15147.3356647,1.95786248620313,FALSE,28.8112464605629,6.86098842524469,28.8112464605629,11
315,35,45,15185.1271309,1.95758998614718,FALSE,31.757586323996,9.9870083392555,31.757586323996,5
316,36,5,15236.2757399,1.05870542192068,TRUE,4.11633917809824,5.52045726408415,4.11633917809824,0
317,36,10,15290.4767193,1.06037618640435,TRUE,4.15123093385954,5.56774560481991,4.15123093385954,0
318,36,15,15334.3674534,1.06242106183848,TRUE,4.18934052377991,5.62370393531701,4.18934052377991,0
319,36,20,15383.5922717,1.06512611073697,TRUE,4.24830468232643,5.69627630002089,4.24830468232643,0
320,36,25,15435.68642,1.06904597104192,TRUE,4.32685266450752,5.79979475541616,4.32685266450752,0
321,36,30,15479.148952,1.07358506606535,TRUE,4.42113197281508,5.91838874925227,4.42113197281508,0
322,36,35,15527.1391503,1.07463515025132,TRUE,4.44466538396996,5.94597089240979,4.44466538396996,0
323,36,40,15561.6273232,1.07520833517408,TRUE,4.46077898491749,5.96113327493819,4.46077898491749,0
324,36,45,15612.0871399,1.07574660979988,TRUE,4.47327411919348,5.97455105359318,4.47327411919348,0
325,37,5,15660.767367,1.05427828285766,TRUE,3.81750584701454,5.65286889161724,3.81750584701454,1
326,37,10,15714.6117039,1.05516625003267,TRUE,3.85675471057141,5.70960259401584,3.85675471057141,1
327,37,15,15754.0470501,1.05580521725472,TRUE,4.22600485069073,5.74440360289956,4.22600485069073,1
328,37,20,15806.6575605,1.05783980305409,TRUE,3.98486388330111,5.87390215320398,3.98486388330111,1
329,37,25,15838.4775768,1.0602289971753,TRUE,4.08761937681511,6.00763377548968,4.08761937681511,1
330,37,30,15889.4572245,1.06344189497537,TRUE,4.21122259029539,6.16892560048103,4.21122259029539,1
331,37,35,15947.1266053,1.06424679402556,TRUE,4.23919130941907,6.20861730887237,4.23919130941907,1
332,37,40,15986.8140998,1.06478814449674,TRUE,4.26122210674121,6.23514590621749,4.26122210674121,1
333,37,45,16032.9467651,1.06485847862994,TRUE,4.61521307853665,6.20344575526666,4.61521307853665,1
334,38,5,16087.6975541,1.05869302047439,TRUE,4.11785395600125,5.52079365559719,4.11785395600125,1
335,38,10,16129.8841324,1.06033108140828,TRUE,4.15029478323744,5.56659862728934,4.15029478323744,1
336,38,15,16186.2081512,1.06240715856859,TRUE,4.192050902929,5.6225120112978,4.192050902929,1
337,38,20,16240.0925698,1.06511723288559,TRUE,4.24657572736088,5.69573499947277,4.24657572736088,1
338,38,25,16289.4753573,1.0689985315453,TRUE,4.32786415826804,5.79891110973161,4.32786415826804,1
339,38,30,16339.7232369,1.07361534527802,TRUE,4.42377733264679,5.91910394540194,4.42377733264679,1
340,38,35,16390.6789854,1.0746435572199,TRUE,4.44464682797735,5.94536202885674,4.44464682797735,1
341,38,40,16436.8214049,1.07527600406607,TRUE,4.4629311509355,5.96196183424878,4.4629311509355,1
342,38,45,16481.8693516,1.07568580821282,TRUE,4.47435744643816,5.97326518066292,4.47435744643816,1
343,39,5,16536.0614499,1.0542932030297,TRUE,3.81766507732159,5.65327911540293,3.81766507732159,1
344,39,10,16571.6410529,1.05510401538951,TRUE,3.85998866974215,5.70830434418331,3.85998866974215,1
345,39,15,16615.9131584,1.05622752848611,TRUE,3.91364788784628,5.77817990904582,3.91364788784628,1
346,39,20,16669.8049565,1.05785401815683,TRUE,3.98558989618381,5.8741649423956,3.98558989618381,1
347,39,25,16704.166428,1.06025057171757,TRUE,4.08564590886369,6.00797290154829,4.08564590886369,1
348,39,30,16745.3382523,1.06340679608555,TRUE,4.21009705173097,6.16832721206491,4.21009705173097,1
349,39,35,16781.3620932,1.06420024542438,TRUE,4.23857974735624,6.20764625684612,4.23857974735624,1
350,39,40,16824.5763759,1.06480167971457,TRUE,4.25950996479725,6.23474344164942,4.25950996479725,1
351,39,45,16873.9558102,1.06535627935313,TRUE,4.28091462420462,6.25875990081291,4.28091462420462,1
352,40,5,16919.4292133,1.96275216054344,FALSE,24.3044760448192,6.42240941575203,24.3044760448192,4
353,40,10,16966.5056069,1.95606459199052,FALSE,35.3374160537878,4.31518951252527,35.3374160537878,4
354,40,15,17006.4266622,1.95501239607594,FALSE,26.8666747541381,8.33696968649216,26.8666747541381,4
355,40,20,17057.6523493,1.95394258905654,FALSE,29.6917314161196,9.12072301958045,29.6917314161196,5
356,40,25,17092.4082322,1.94482182150261,FALSE,18.8372020630439,14.4312114403297,18.8372020630439,6
357,40,30,17129.6776297,1.93881657210334,FALSE,17.7923170773547,16.6479071683399,17.7923170773547,4
358,40,35,17169.2520588,1.95674022782287,FALSE,29.5170466482465,5.84405218267183,29.5170466482465,11
359,40,40,17209.5508527,1.95789850759517,FALSE,28.7634688630574,6.85996610487003,28.7634688630574,11
360,40,45,17258.9431164,1.95759982750551,FALSE,31.7226916715086,9.98598705035054,31.7226916715086,5
361,41,5,17303.7990776,1.06273181339487,TRUE,3.88801375261405,5.52366032960333,3.88801375261405,0
362,41,10,17344.6938289,1.06432553734803,TRUE,3.91602276935756,5.56746671790648,3.91602276935756,0
363,41,15,17402.7150777,1.06642403657539,TRUE,3.95445210521332,5.62160807854986,3.95445210521332,0
364,41,20,17456.3130834,1.06917388870537,TRUE,4.01005916243136,5.69401739578772,4.01005916243136,0
365,41,25,17493.2507568,1.07297667282165,TRUE,4.08175010741299,5.79284136439098,4.08175010741299,0
366,41,30,17531.0501547,1.07763636583336,TRUE,4.1701912628064,5.91114394281436,4.1701912628064,0
367,41,35,17581.0484236,1.0786843488648,TRUE,4.19246880328516,5.93630404713699,4.19246880328516,0
